DRAKE — MASTER LEAD / JOINT-PRIMARY CATALOG
Released material through September 2026
Purpose: source-of-truth candidate list for Which Drake?
Features where another artist is primary will be supplied separately.

ROOM FOR IMPROVEMENT (2006)
"Intro" | Credit: Drake | Role: Lead | Original
"Missin' You" (Freestyle) | Credit: Drake | Role: Lead | Original
"Man of the Year" (feat. Lil Wayne) | Credit: Drake feat. Lil Wayne | Role: Lead | Original

SO FAR GONE (2009)
"Lust for Life" | Credit: Drake | Role: Lead | Original
"Houstatlantavegas" | Credit: Drake | Role: Lead | Original
"Successful" (feat. Trey Songz & Lil Wayne) | Credit: Drake feat. Trey Songz & Lil Wayne | Role: Lead | Original
"Best I Ever Had" | Credit: Drake | Role: Lead | Original
"Unstoppable" (feat. Santigold & Lil Wayne) | Credit: Drake feat. Santigold & Lil Wayne | Role: Lead | Original
"Uptown" (feat. Bun B & Lil Wayne) | Credit: Drake feat. Bun B & Lil Wayne | Role: Lead | Original
"I'm Goin' In" (feat. Lil Wayne & Jeezy) | Credit: Drake feat. Lil Wayne & Jeezy | Role: Lead | Original
"The Calm" | Credit: Drake | Role: Lead | Original
"Brand New" | Credit: Drake | Role: Lead | Original
"So So Fresh" (Freestyle) | Credit: Drake | Role: Lead | Original
"Ignant Shit" (feat. Lil Wayne) | Credit: Drake feat. Lil Wayne | Role: Lead | Original
"A Night Off" (feat. Lloyd) | Credit: Drake feat. Lloyd | Role: Lead | Original
"Say What's Real" | Credit: Drake | Role: Lead | Original
"Little Bit" (feat. Lykke Li) | Credit: Drake feat. Lykke Li | Role: Lead | Original
"Congratulations" | Credit: Drake | Role: Lead | Original
"November 18th" | Credit: Drake | Role: Lead | Original
"Fear" | Credit: Drake | Role: Lead | Original

WE ARE YOUNG MONEY — DRAKE PERFORMANCES (2009)
"BedRock" | Credit: Young Money feat. Lloyd | Role: Group / Joint | Original
"Every Girl" | Credit: Young Money | Role: Group / Joint | Original
"Pass the Dutch" | Credit: Young Money feat. Short Dawg | Role: Group / Joint | Original
"Fuck da Bullshit" | Credit: Young Money feat. Birdman | Role: Group / Joint | Original
"Finale" | Credit: Young Money | Role: Group / Joint | Original

THANK ME LATER (2010)
"Fireworks" (feat. Alicia Keys) | Credit: Drake feat. Alicia Keys | Role: Lead | Original
"Karaoke" | Credit: Drake | Role: Lead | Original
"The Resistance" | Credit: Drake | Role: Lead | Original
"Over" | Credit: Drake | Role: Lead | Original
"Show Me a Good Time" | Credit: Drake | Role: Lead | Original
"Up All Night" (feat. Nicki Minaj) | Credit: Drake feat. Nicki Minaj | Role: Lead | Original
"Fancy" (feat. T.I. & Swizz Beatz) | Credit: Drake feat. T.I. & Swizz Beatz | Role: Lead | Original
"Shut It Down" (feat. The-Dream) | Credit: Drake feat. The-Dream | Role: Lead | Original
"Unforgettable" (feat. Young Jeezy) | Credit: Drake feat. Young Jeezy | Role: Lead | Original
"Light Up" (feat. Jay-Z) | Credit: Drake feat. Jay-Z | Role: Lead | Original
"Miss Me" (feat. Lil Wayne) | Credit: Drake feat. Lil Wayne | Role: Lead | Original
"Cece's Interlude" | Credit: Drake | Role: Lead | Original
"Find Your Love" | Credit: Drake | Role: Lead | Original
"Thank Me Now" | Credit: Drake | Role: Lead | Original
"9AM in Dallas" | Credit: Drake | Role: Lead | Original

TAKE CARE (2011)
"Over My Dead Body" | Credit: Drake | Role: Lead | Original
"Shot for Me" | Credit: Drake | Role: Lead | Original
"Headlines" | Credit: Drake | Role: Lead | Original
"Crew Love" (feat. The Weeknd) | Credit: Drake feat. The Weeknd | Role: Lead | Original
"Take Care" (feat. Rihanna) | Credit: Drake feat. Rihanna | Role: Lead | Original
"Marvins Room" | Credit: Drake | Role: Lead | Original
"Buried Alive Interlude" | Credit: Drake album track / Kendrick Lamar performance | Role: Review | Original
"Under Ground Kings" | Credit: Drake | Role: Lead | Original
"We'll Be Fine" (feat. Birdman) | Credit: Drake feat. Birdman | Role: Lead | Original
"Make Me Proud" (feat. Nicki Minaj) | Credit: Drake feat. Nicki Minaj | Role: Lead | Original
"Lord Knows" (feat. Rick Ross) | Credit: Drake feat. Rick Ross | Role: Lead | Original
"Cameras / Good Ones Go Interlude" | Credit: Drake | Role: Lead | Original
"Doing It Wrong" | Credit: Drake | Role: Lead | Original
"The Real Her" (feat. Lil Wayne & André 3000) | Credit: Drake feat. Lil Wayne & André 3000 | Role: Lead | Original
"Look What You've Done" | Credit: Drake | Role: Lead | Original
"HYFR (Hell Ya Fucking Right)" (feat. Lil Wayne) | Credit: Drake feat. Lil Wayne | Role: Lead | Original
"Practice" | Credit: Drake | Role: Lead | Original
"The Ride" | Credit: Drake | Role: Lead | Original
"The Motto" (feat. Lil Wayne) | Credit: Drake feat. Lil Wayne | Role: Lead | Original
"Hate Sleeping Alone" | Credit: Drake | Role: Lead | Original

NOTHING WAS THE SAME (2013)
"Tuscan Leather" | Credit: Drake | Role: Lead | Original
"Started from the Bottom" | Credit: Drake | Role: Lead | Original
"Wu-Tang Forever" | Credit: Drake | Role: Lead | Original
"Own It" | Credit: Drake | Role: Lead | Original
"Worst Behavior" | Credit: Drake | Role: Lead | Original
"From Time" (feat. Jhené Aiko) | Credit: Drake feat. Jhené Aiko | Role: Lead | Original
"Hold On, We're Going Home" (feat. Majid Jordan) | Credit: Drake feat. Majid Jordan | Role: Lead | Original
"Connect" | Credit: Drake | Role: Lead | Original
"The Language" | Credit: Drake | Role: Lead | Original
"305 to My City" (feat. Detail) | Credit: Drake feat. Detail | Role: Lead | Original
"Too Much" (feat. Sampha) | Credit: Drake feat. Sampha | Role: Lead | Original
"Pound Cake / Paris Morton Music 2" (feat. Jay-Z) | Credit: Drake feat. Jay-Z | Role: Lead | Original
"Come Thru" | Credit: Drake | Role: Lead | Original
"All Me" (feat. 2 Chainz & Big Sean) | Credit: Drake feat. 2 Chainz & Big Sean | Role: Lead | Original

IF YOU'RE READING THIS IT'S TOO LATE (2015)
"Legend" | Credit: Drake | Role: Lead | Original
"Energy" | Credit: Drake | Role: Lead | Original
"10 Bands" | Credit: Drake | Role: Lead | Original
"Know Yourself" | Credit: Drake | Role: Lead | Original
"No Tellin'" | Credit: Drake | Role: Lead | Original
"Madonna" | Credit: Drake | Role: Lead | Original
"6 God" | Credit: Drake | Role: Lead | Original
"Star67" | Credit: Drake | Role: Lead | Original
"Preach" (feat. PARTYNEXTDOOR) | Credit: Drake feat. PARTYNEXTDOOR | Role: Lead | Original
"Wednesday Night Interlude" | Credit: Drake feat. PARTYNEXTDOOR | Role: Lead | Original
"Used To" (feat. Lil Wayne) | Credit: Drake feat. Lil Wayne | Role: Lead | Original
"6 Man" | Credit: Drake | Role: Lead | Original
"Now & Forever" | Credit: Drake | Role: Lead | Original
"Company" (feat. Travis Scott) | Credit: Drake feat. Travis Scott | Role: Lead | Original
"You & the 6" | Credit: Drake | Role: Lead | Original
"Jungle" | Credit: Drake | Role: Lead | Original
"6PM in New York" | Credit: Drake | Role: Lead | Original
"How About Now" | Credit: Drake | Role: Lead | Original
"My Side" | Credit: Drake | Role: Lead | Original

WHAT A TIME TO BE ALIVE — WITH FUTURE (2015)
"Digital Dash" | Credit: Drake & Future | Role: Joint-Primary | Original
"Big Rings" | Credit: Drake & Future | Role: Joint-Primary | Original
"Live from the Gutter" | Credit: Drake & Future | Role: Joint-Primary | Original
"Diamonds Dancing" | Credit: Drake & Future | Role: Joint-Primary | Original
"Scholarships" | Credit: Drake & Future | Role: Joint-Primary | Original
"Plastic Bag" | Credit: Drake & Future | Role: Joint-Primary | Original
"I'm the Plug" | Credit: Drake & Future | Role: Joint-Primary | Original
"Change Locations" | Credit: Drake & Future | Role: Joint-Primary | Original
"Jumpman" | Credit: Drake & Future | Role: Joint-Primary | Original
"30 for 30 Freestyle" | Credit: Drake | Role: Lead | Original

VIEWS (2016)
"Keep the Family Close" | Credit: Drake | Role: Lead | Original
"9" | Credit: Drake | Role: Lead | Original
"U With Me?" | Credit: Drake | Role: Lead | Original
"Feel No Ways" | Credit: Drake | Role: Lead | Original
"Hype" | Credit: Drake | Role: Lead | Original
"Weston Road Flows" | Credit: Drake | Role: Lead | Original
"Redemption" | Credit: Drake | Role: Lead | Original
"With You" (feat. PARTYNEXTDOOR) | Credit: Drake feat. PARTYNEXTDOOR | Role: Lead | Original
"Faithful" (feat. Pimp C & dvsn) | Credit: Drake feat. Pimp C & dvsn | Role: Lead | Original
"Still Here" | Credit: Drake | Role: Lead | Original
"Controlla" | Credit: Drake | Role: Lead | Original
"One Dance" (feat. Wizkid & Kyla) | Credit: Drake feat. Wizkid & Kyla | Role: Lead | Original
"Grammys" (feat. Future) | Credit: Drake feat. Future | Role: Lead | Original
"Childs Play" | Credit: Drake | Role: Lead | Original
"Pop Style" | Credit: Drake | Role: Lead | Original
"Too Good" (feat. Rihanna) | Credit: Drake feat. Rihanna | Role: Lead | Original
"Summers Over Interlude" | Credit: Drake | Role: Lead | Original
"Fire & Desire" | Credit: Drake | Role: Lead | Original
"Views" | Credit: Drake | Role: Lead | Original
"Hotline Bling" | Credit: Drake | Role: Lead | Original

MORE LIFE (2017)
"Free Smoke" | Credit: Drake | Role: Lead | Original
"No Long Talk" (feat. Giggs) | Credit: Drake feat. Giggs | Role: Lead | Original
"Passionfruit" | Credit: Drake | Role: Lead | Original
"Jorja Interlude" | Credit: Drake | Role: Lead | Original
"Get It Together" (feat. Black Coffee & Jorja Smith) | Credit: Drake feat. Black Coffee & Jorja Smith | Role: Lead | Original
"Madiba Riddim" | Credit: Drake | Role: Lead | Original
"Blem" | Credit: Drake | Role: Lead | Original
"4422" | Credit: Drake project track / Sampha performance | Role: Review | Original
"Gyalchester" | Credit: Drake | Role: Lead | Original
"Skepta Interlude" | Credit: Drake project track / Skepta performance | Role: Review | Original
"Portland" (feat. Quavo & Travis Scott) | Credit: Drake feat. Quavo & Travis Scott | Role: Lead | Original
"Sacrifices" (feat. 2 Chainz & Young Thug) | Credit: Drake feat. 2 Chainz & Young Thug | Role: Lead | Original
"Nothings Into Somethings" | Credit: Drake | Role: Lead | Original
"Teenage Fever" | Credit: Drake | Role: Lead | Original
"KMT" (feat. Giggs) | Credit: Drake feat. Giggs | Role: Lead | Original
"Lose You" | Credit: Drake | Role: Lead | Original
"Can't Have Everything" | Credit: Drake | Role: Lead | Original
"Glow" (feat. Kanye West) | Credit: Drake feat. Kanye West | Role: Lead | Original
"Since Way Back" (feat. PARTYNEXTDOOR) | Credit: Drake feat. PARTYNEXTDOOR | Role: Lead | Original
"Fake Love" | Credit: Drake | Role: Lead | Original
"Ice Melts" (feat. Young Thug) | Credit: Drake feat. Young Thug | Role: Lead | Original
"Do Not Disturb" | Credit: Drake | Role: Lead | Original

SCORPION (2018)
"Survival" | Credit: Drake | Role: Lead | Original
"Nonstop" | Credit: Drake | Role: Lead | Original
"Elevate" | Credit: Drake | Role: Lead | Original
"Emotionless" | Credit: Drake | Role: Lead | Original
"God's Plan" | Credit: Drake | Role: Lead | Original
"I'm Upset" | Credit: Drake | Role: Lead | Original
"8 Out of 10" | Credit: Drake | Role: Lead | Original
"Mob Ties" | Credit: Drake | Role: Lead | Original
"Can't Take a Joke" | Credit: Drake | Role: Lead | Original
"Sandra's Rose" | Credit: Drake | Role: Lead | Original
"Talk Up" (feat. Jay-Z) | Credit: Drake feat. Jay-Z | Role: Lead | Original
"Is There More" | Credit: Drake | Role: Lead | Original
"Peak" | Credit: Drake | Role: Lead | Original
"Summer Games" | Credit: Drake | Role: Lead | Original
"Jaded" | Credit: Drake | Role: Lead | Original
"Nice for What" | Credit: Drake | Role: Lead | Original
"Finesse" | Credit: Drake | Role: Lead | Original
"Ratchet Happy Birthday" | Credit: Drake | Role: Lead | Original
"That's How You Feel" | Credit: Drake | Role: Lead | Original
"Blue Tint" | Credit: Drake | Role: Lead | Original
"In My Feelings" | Credit: Drake | Role: Lead | Original
"Don't Matter to Me" (with Michael Jackson) | Credit: Drake & Michael Jackson | Role: Lead / Collaboration | Original
"After Dark" (feat. Static Major & Ty Dolla $ign) | Credit: Drake feat. Static Major & Ty Dolla $ign | Role: Lead | Original
"Final Fantasy" | Credit: Drake | Role: Lead | Original
"March 14" | Credit: Drake | Role: Lead | Original

CARE PACKAGE (2019)
"Dreams Money Can Buy" | Credit: Drake | Role: Lead | Original
"The Motion" (feat. Sampha) | Credit: Drake feat. Sampha | Role: Lead | Original
"How About Now" | Credit: Drake | Role: Lead | Original
"Trust Issues" | Credit: Drake | Role: Lead | Original
"Days in the East" | Credit: Drake | Role: Lead | Original
"Draft Day" | Credit: Drake | Role: Lead | Original
"4PM in Calabasas" | Credit: Drake | Role: Lead | Original
"5AM in Toronto" | Credit: Drake | Role: Lead | Original
"I Get Lonely" | Credit: Drake | Role: Lead | Original
"My Side" | Credit: Drake | Role: Lead | Original
"Jodeci Freestyle" (feat. J. Cole) | Credit: Drake feat. J. Cole | Role: Lead | Original
"Club Paradise" | Credit: Drake | Role: Lead | Original
"Free Spirit" (feat. Rick Ross) | Credit: Drake feat. Rick Ross | Role: Lead | Original
"Heat of the Moment" | Credit: Drake | Role: Lead | Original
"Girls Love Beyoncé" (feat. James Fauntleroy) | Credit: Drake feat. James Fauntleroy | Role: Lead | Original
"Paris Morton Music" | Credit: Drake | Role: Lead | Original
"Can I" | Credit: Drake | Role: Lead | Original

DARK LANE DEMO TAPES (2020)
"Deep Pockets" | Credit: Drake | Role: Lead | Original
"When to Say When" | Credit: Drake | Role: Lead | Original
"Chicago Freestyle" (feat. Giveon) | Credit: Drake feat. Giveon | Role: Lead | Original
"Not You Too" (feat. Chris Brown) | Credit: Drake feat. Chris Brown | Role: Lead | Original
"Toosie Slide" | Credit: Drake | Role: Lead | Original
"Desires" (feat. Future) | Credit: Drake feat. Future | Role: Lead | Original
"Time Flies" | Credit: Drake | Role: Lead | Original
"Landed" | Credit: Drake | Role: Lead | Original
"D4L" (feat. Future & Young Thug) | Credit: Drake feat. Future & Young Thug | Role: Lead | Original
"Pain 1993" (feat. Playboi Carti) | Credit: Drake feat. Playboi Carti | Role: Lead | Original
"Losses" | Credit: Drake | Role: Lead | Original
"From Florida With Love" | Credit: Drake | Role: Lead | Original
"Demons" (feat. Fivio Foreign & Sosa Geek) | Credit: Drake feat. Fivio Foreign & Sosa Geek | Role: Lead | Original
"War" | Credit: Drake | Role: Lead | Original

CERTIFIED LOVER BOY (2021)
"Champagne Poetry" | Credit: Drake | Role: Lead | Original
"Papi's Home" | Credit: Drake | Role: Lead | Original
"Girls Want Girls" (feat. Lil Baby) | Credit: Drake feat. Lil Baby | Role: Lead | Original
"In the Bible" (feat. Lil Durk & Giveon) | Credit: Drake feat. Lil Durk & Giveon | Role: Lead | Original
"Love All" (feat. Jay-Z) | Credit: Drake feat. Jay-Z | Role: Lead | Original
"Fair Trade" (feat. Travis Scott) | Credit: Drake feat. Travis Scott | Role: Lead | Original
"Way 2 Sexy" (feat. Future & Young Thug) | Credit: Drake feat. Future & Young Thug | Role: Lead | Original
"TSU" | Credit: Drake | Role: Lead | Original
"N 2 Deep" (feat. Future) | Credit: Drake feat. Future | Role: Lead | Original
"Pipe Down" | Credit: Drake | Role: Lead | Original
"Yebba's Heartbreak" | Credit: Yebba | Role: Drake-project guest performance / Review | Original
"No Friends in the Industry" | Credit: Drake | Role: Lead | Original
"Knife Talk" (feat. 21 Savage & Project Pat) | Credit: Drake feat. 21 Savage & Project Pat | Role: Lead | Original
"7AM on Bridle Path" | Credit: Drake | Role: Lead | Original
"Race My Mind" | Credit: Drake | Role: Lead | Original
"Fountains" (feat. Tems) | Credit: Drake feat. Tems | Role: Lead | Original
"Get Along Better" (feat. Ty Dolla $ign) | Credit: Drake feat. Ty Dolla $ign | Role: Lead | Original
"You Only Live Twice" (feat. Lil Wayne & Rick Ross) | Credit: Drake feat. Lil Wayne & Rick Ross | Role: Lead | Original
"IMY2" (feat. Kid Cudi) | Credit: Drake feat. Kid Cudi | Role: Lead | Original
"Fucking Fans" | Credit: Drake | Role: Lead | Original
"The Remorse" | Credit: Drake | Role: Lead | Original

HONESTLY, NEVERMIND (2022)
"Intro" | Credit: Drake | Role: Lead | Original
"Falling Back" | Credit: Drake | Role: Lead | Original
"Texts Go Green" | Credit: Drake | Role: Lead | Original
"Currents" | Credit: Drake | Role: Lead | Original
"A Keeper" | Credit: Drake | Role: Lead | Original
"Calling My Name" | Credit: Drake | Role: Lead | Original
"Sticky" | Credit: Drake | Role: Lead | Original
"Massive" | Credit: Drake | Role: Lead | Original
"Flight's Booked" | Credit: Drake | Role: Lead | Original
"Overdrive" | Credit: Drake | Role: Lead | Original
"Down Hill" | Credit: Drake | Role: Lead | Original
"Tie That Binds" | Credit: Drake | Role: Lead | Original
"Liability" | Credit: Drake | Role: Lead | Original
"Jimmy Cooks" (feat. 21 Savage) | Credit: Drake feat. 21 Savage | Role: Lead | Original

HER LOSS — WITH 21 SAVAGE (2022)
"Rich Flex" | Credit: Drake & 21 Savage | Role: Joint-Primary | Original
"Major Distribution" | Credit: Drake & 21 Savage | Role: Joint-Primary | Original
"On BS" | Credit: Drake & 21 Savage | Role: Joint-Primary | Original
"BackOutsideBoyz" | Credit: Drake | Role: Lead | Original
"Privileged Rappers" | Credit: Drake & 21 Savage | Role: Joint-Primary | Original
"Spin Bout U" | Credit: Drake & 21 Savage | Role: Joint-Primary | Original
"Hours in Silence" | Credit: Drake & 21 Savage | Role: Joint-Primary | Original
"Treacherous Twins" | Credit: Drake & 21 Savage | Role: Joint-Primary | Original
"Circo Loco" | Credit: Drake & 21 Savage | Role: Joint-Primary | Original
"Pussy & Millions" (feat. Travis Scott) | Credit: Drake & 21 Savage feat. Travis Scott | Role: Joint-Primary | Original
"Broke Boys" | Credit: Drake & 21 Savage | Role: Joint-Primary | Original
"Middle of the Ocean" | Credit: Drake | Role: Lead | Original
"Jumbotron Shit Poppin" | Credit: Drake | Role: Lead | Original
"More M's" | Credit: Drake & 21 Savage | Role: Joint-Primary | Original
"3AM on Glenwood" | Credit: 21 Savage | Role: Drake-project guest performance / Review | Original
"I Guess It's Fuck Me" | Credit: Drake | Role: Lead | Original

FOR ALL THE DOGS + SCARY HOURS EDITION (2023)
"Virginia Beach" | Credit: Drake | Role: Lead | Original
"Amen" (feat. Teezo Touchdown) | Credit: Drake feat. Teezo Touchdown | Role: Lead | Original
"Calling For You" (feat. 21 Savage) | Credit: Drake feat. 21 Savage | Role: Lead | Original
"Fear of Heights" | Credit: Drake | Role: Lead | Original
"Daylight" | Credit: Drake | Role: Lead | Original
"First Person Shooter" (feat. J. Cole) | Credit: Drake feat. J. Cole | Role: Lead | Original
"IDGAF" (feat. Yeat) | Credit: Drake feat. Yeat | Role: Lead | Original
"7969 Santa" | Credit: Drake | Role: Lead | Original
"Slime You Out" (feat. SZA) | Credit: Drake feat. SZA | Role: Lead | Original
"Bahamas Promises" | Credit: Drake | Role: Lead | Original
"Tried Our Best" | Credit: Drake | Role: Lead | Original
"Screw the World – Interlude" | Credit: Drake project track | Role: Interlude / Review | Original
"Drew a Picasso" | Credit: Drake | Role: Lead | Original
"Members Only" (feat. PARTYNEXTDOOR) | Credit: Drake feat. PARTYNEXTDOOR | Role: Lead | Original
"What Would Pluto Do" | Credit: Drake | Role: Lead | Original
"All the Parties" (feat. Chief Keef) | Credit: Drake feat. Chief Keef | Role: Lead | Original
"8AM in Charlotte" | Credit: Drake | Role: Lead | Original
"BBL Love (Interlude)" | Credit: Drake | Role: Lead | Original
"Gently" (feat. Bad Bunny) | Credit: Drake feat. Bad Bunny | Role: Lead | Original
"Rich Baby Daddy" (feat. Sexyy Red & SZA) | Credit: Drake feat. Sexyy Red & SZA | Role: Lead | Original
"Another Late Night" (feat. Lil Yachty) | Credit: Drake feat. Lil Yachty | Role: Lead | Original
"Away From Home" | Credit: Drake | Role: Lead | Original
"Polar Opposites" | Credit: Drake | Role: Lead | Original
SCARY HOURS 3 ADDITIONS:
"Red Button" | Credit: Drake | Role: Lead | Original
"Stories About My Brother" | Credit: Drake | Role: Lead | Original
"The Shoe Fits" | Credit: Drake | Role: Lead | Original
"Wick Man" | Credit: Drake | Role: Lead | Original
"Evil Ways" (feat. J. Cole) | Credit: Drake feat. J. Cole | Role: Lead | Original
"You Broke My Heart" | Credit: Drake | Role: Lead | Original

2024 LEAD / PRIMARY RELEASES
"Push Ups" | Credit: Drake | Role: Lead | Original
"Family Matters" | Credit: Drake | Role: Lead | Original
"The Heart Part 6" | Credit: Drake | Role: Lead | Original / non-DSP release status should be preserved
"It's Up" (feat. Young Thug & 21 Savage) | Credit: Drake feat. Young Thug & 21 Savage | Role: Lead | Original
"Blue Green Red" | Credit: Drake | Role: Lead | Original
"Housekeeping Knows" (feat. Latto) | Credit: Drake feat. Latto | Role: Lead | Original
"Circadian Rhythm" | Credit: Drake | Role: Lead | Original
"No Face" | Credit: Drake | Role: Lead | Original
"Sideways" | Credit: GORDO & Drake | Role: Joint-Primary | Original
"Healing" | Credit: GORDO & Drake | Role: Joint-Primary | Original

$OME $EXY $ONGS 4 U — WITH PARTYNEXTDOOR (2025)
"CN TOWER" | Credit: PARTYNEXTDOOR & Drake | Role: Joint-Primary | Original
"MOTH BALLS" | Credit: PARTYNEXTDOOR & Drake | Role: Joint-Primary | Original
"SOMETHING ABOUT YOU" | Credit: PARTYNEXTDOOR & Drake | Role: Joint-Primary | Original
"CRYING IN CHANEL" | Credit: Drake | Role: Lead | Original
"SPIDER-MAN SUPERMAN" | Credit: PARTYNEXTDOOR & Drake | Role: Joint-Primary | Original
"SMALL TOWN FAME" | Credit: Drake | Role: Lead | Original
"PIMMIE'S DILEMMA" | Credit: Pimmie, PARTYNEXTDOOR & Drake | Role: Joint-Primary | Original
"BRIAN STEEL" | Credit: Drake | Role: Lead | Original
"GIMME A HUG" | Credit: Drake | Role: Lead | Original
"RAINING IN HOUSTON" | Credit: Drake | Role: Lead | Original
"LASERS" | Credit: PARTYNEXTDOOR & Drake | Role: Joint-Primary | Original
"MEET YOUR PADRE" | Credit: PARTYNEXTDOOR, Drake & Chino Pacas | Role: Joint-Primary | Original
"NOKIA" | Credit: Drake | Role: Lead | Original
"DIE TRYING" | Credit: PARTYNEXTDOOR, Drake & Yebba | Role: Joint-Primary | Original
"SOMEBODY LOVES ME" | Credit: PARTYNEXTDOOR & Drake | Role: Joint-Primary | Original
"CELIBACY" | Credit: PARTYNEXTDOOR & Drake | Role: Joint-Primary | Original
"OMW" | Credit: PARTYNEXTDOOR & Drake | Role: Joint-Primary | Original
"GLORIOUS" | Credit: PARTYNEXTDOOR & Drake | Role: Joint-Primary | Original
"WHEN HE'S GONE" | Credit: PARTYNEXTDOOR & Drake | Role: Joint-Primary | Original
"GREEDY" | Credit: PARTYNEXTDOOR & Drake | Role: Joint-Primary | Original
NOTE: "DEEPER" is a PARTYNEXTDOOR solo performance and is intentionally not included in the Drake-performing catalog.

OTHER 2025 LEAD / PRIMARY RELEASES
"Which One" | Credit: Drake & Central Cee | Role: Lead / Collaboration | Original

ICEMAN (2026)
"Make Them Cry" | Credit: Drake | Role: Lead | Original
"Dust" | Credit: Drake | Role: Lead | Original
"Whisper My Name" | Credit: Drake | Role: Lead | Original
"Janice STFU" | Credit: Drake | Role: Lead | Original
"Ran To Atlanta" | Credit: Drake, Future & Molly Santana | Role: Lead / Collaboration | Original
"Shabang" | Credit: Drake | Role: Lead | Original
"Make Them Pay" | Credit: Drake | Role: Lead | Original
"Burning Bridges" | Credit: Drake | Role: Lead | Original
"National Treasures" | Credit: Drake | Role: Lead | Original
"B's On The Table" | Credit: Drake & 21 Savage | Role: Lead / Collaboration | Original
"What Did I Miss?" | Credit: Drake | Role: Lead | Original
"Plot Twist" | Credit: Drake | Role: Lead | Original
"2 Hard 4 The Radio" | Credit: Drake | Role: Lead | Original
"Make Them Remember" | Credit: Drake | Role: Lead | Original
"Little Birdie" | Credit: Drake | Role: Lead | Original
"Don't Worry" | Credit: Drake | Role: Lead | Original
"Firm Friends" | Credit: Drake | Role: Lead | Original
"Make Them Know" | Credit: Drake | Role: Lead | Original

MAID OF HONOUR (2026)
"Hoe Phase" | Credit: Drake | Role: Lead | Original
"Road Trips" | Credit: Drake | Role: Lead | Original
"Outside Tweaking" | Credit: Drake & Stunna Sandy | Role: Lead / Collaboration | Original
"Cheetah Print" | Credit: Drake & Sexyy Red | Role: Lead / Collaboration | Original
"Which One" | Credit: Drake & Central Cee | Role: Lead / Collaboration | Original
"Amazing Shape" | Credit: Drake & Popcaan | Role: Lead / Collaboration | Original
"BBW" | Credit: Drake | Role: Lead | Original
"True Bestie" | Credit: Drake & Iconic Savvy | Role: Lead / Collaboration | Original
"Where's Your Stuff Interlude" | Credit: Drake | Role: Lead | Original
"New Bestie" | Credit: Drake | Role: Lead | Original
"Q&A" | Credit: Drake | Role: Lead | Original
"Stuck" | Credit: Drake | Role: Lead | Original
